Name,Glasanteil_Süd_[%],Klimaszenario,Glasanteil_WestOst_[%],Glasanteil_Nord_[%],Produktwahl_Verglasung,Produktwahl_Verschattung,Dämmstärke_[m],Glasanteil_Nord_[%],VolSpez_Wärmekap_[kJ/m3K],Klimaszenario,,Anteil_Unzufrieden_[%],Tageslichtfaktor_[%],Kühlenergie_[kWh/Jahr],Heizenergie_[kWh/Jahr],Investitionskosten_[EUR],Energie_Kunstlicht_[kWh/Jahr],Primärenergie_Total_[kWh/Jahr],Betriebskosten_[EUR/Jahr],Investitionskosten_[EUR],Heizenergie_[kWh/Jahr]
run10088,34.77,2000 Durchschnittsjahr,61.96,97.97,Q-Air 4-fach Krypton U=0.3 g=20%,ROLLER-SHADE,0.1522,97.97,2414.6,2000 Durchschnittsjahr,run10088,7.564,1.893,28645.9,91569.4,587766.1,12450.6,231791.1,33856.5,587766.1,91569.4
run10089,99.01,2060 Durchschnittsjahr mit Klimaschutz,80.22,77.81,SGG Planitherm 3-fach Argon U=0.7 g=42%,ROLLER-SHADE,0.1879,77.81,1619.1,2060 Durchschnittsjahr mit Klimaschutz,run10089,7.419,2.381,48394.5,85496.7,648280.8,10770.4,233237.9,34620.1,648280.8,85496.7
run10090,21.11,2000 Durchschnittsjahr,47.4,47.72,Standard 2-fach Argon U=1.1 g=34%,<value not set>,0.1128,47.72,1426.3,2000 Durchschnittsjahr,run10090,7.61,1.295,23752.4,90535.6,530286.2,15138.2,232432.8,34057.2,530286.2,90535.6
run10091,0.3886,2060 Durchschnittsjahr mit Klimaschutz,62.16,40.41,Q-Air 4-fach Krypton U=0.3 g=20%,ROLLER-SHADE,0.1761,40.41,32.76,2060 Durchschnittsjahr mit Klimaschutz,run10091,7.327,1.255,34906,69267.1,490626.7,15971.9,214680,32648.9,490626.7,69267.1
run10092,14.29,2060 warmer Sommer mit Klimaschutz,66.89,97.6,SunGuard 3-fach Argon U=0.6 g=18%,ROLLER-SHADE,0.1468,97.6,1580.5,2060 warmer Sommer mit Klimaschutz,run10092,7.419,2.103,48786.8,81994.6,578464.9,12605.7,232565.7,34790.7,578464.9,81994.6
run10093,37.51,2060 warmer Sommer mit Klimaschutz,11.54,23.38,Q-Air 4-fach Krypton U=0.3 g=20%,ROLLER-SHADE,0.1306,23.38,1909.2,2060 warmer Sommer mit Klimaschutz,run10093,7.389,0.5555,37400.4,66225.9,496434.6,22947,225068,34759.7,496434.6,66225.9
run10094,41.99,2060 warmer Sommer mit Klimaschutz,51.5,47.04,Standard 2-fach Argon U=1.1 g=34%,<value not set>,0.1024,47.04,1972.6,2060 warmer Sommer mit Klimaschutz,run10094,7.441,1.539,45296.2,84494.9,567894.7,13958.2,235956.6,35189.8,567894.7,84494.9
run10095,21.01,2060 Durchschnittsjahr mit Klimaschutz,51.78,31.98,Standard 2-fach Argon U=1.1 g=34%,<value not set>,0.1739,31.98,83.03,2060 Durchschnittsjahr mit Klimaschutz,run10095,7.303,1.19,33895.2,67621.8,493973.1,15679.3,211542.1,32224,493973.1,67621.8
run10096,36.98,2000 Durchschnittsjahr,2.785,7.197,SunGuard 3-fach Argon U=0.6 g=23%,<value not set>,0.1327,7.197,1404.3,2000 Durchschnittsjahr,run10096,7.614,0.2646,20970.2,70692.8,448460.5,25644,225410.4,34450,448460.5,70692.8
run10097,60.28,2060 Durchschnittsjahr mit Klimaschutz,52.5,94.56,SGG Planitherm 3-fach Argon U=0.7 g=42%,<value not set>,0.1933,94.56,1158,2060 Durchschnittsjahr mit Klimaschutz,run10097,7.403,1.933,38699.5,78378.7,579001.5,12690.4,222182.1,33233.6,579001.5,78378.7
run10098,68.59,2060 Durchschnittsjahr mit Klimaschutz,62.07,11.12,Standard 2-fach Argon U=1.1 g=34%,ROLLER-SHADE,0.1863,11.12,501.8,2060 Durchschnittsjahr mit Klimaschutz,run10098,7.296,1.491,38775.4,68054.5,562382.1,13643,211335.5,32151.1,562382.1,68054.5
run10099,91.25,2060 warmer Sommer mit Klimaschutz,11.47,66.12,Standard 2-fach Argon U=1.1 g=34%,ROLLER-SHADE,0.1685,66.12,1571.6,2060 warmer Sommer mit Klimaschutz,run10099,7.308,1.18,42442.4,67139.9,541816.3,15468.6,215755.6,33017.9,541816.3,67139.9
run10100,17.8,2060 warmer Sommer mit Klimaschutz,40.44,47.44,SunGuard 3-fach Argon U=0.6 g=18%,SCREEN-SHADE,0.1341,47.44,2705.9,2060 warmer Sommer mit Klimaschutz,run10100,7.413,1.056,40853.6,73134.3,534406.5,16314.1,223650.3,33932,534406.5,73134.3
r2n10001,37.3,2060 warmer Sommer mit Klimaschutz,65.27,80.26,Q-Air 4-fach Krypton U=0.3 g=20%,SCREEN-SHADE,0.1472,80.26,2589.4,2060 warmer Sommer mit Klimaschutz,r2n10001,7.393,2.166,49484.1,80498.8,596216.7,12383.6,230755.1,34591.2,596216.7,80498.8
r2n10002,13.66,2060 Durchschnittsjahr mit Klimaschutz,3.606,3.774,SunGuard 3-fach Argon U=0.6 g=23%,SCREEN-SHADE,0.173,3.774,2159.1,2060 Durchschnittsjahr mit Klimaschutz,r2n10002,7.384,0.1104,26202,53200.6,461382.9,27901,211281.9,33375.9,461382.9,53200.6
r2n10003,71.23,2060 Durchschnittsjahr mit Klimaschutz,2.51,55.95,SGG Planitherm 3-fach Argon U=0.7 g=42%,ROLLER-SHADE,0.1478,55.95,1721,2060 Durchschnittsjahr mit Klimaschutz,r2n10003,7.413,0.8864,29286.7,69574.3,509138.6,18849,216867.2,33014.6,509138.6,69574.3
r2n10004,34.9,2060 warmer Sommer mit Klimaschutz,56.51,93.03,Standard 2-fach Argon U=1.1 g=34%,<value not set>,0.1815,93.03,2525.6,2060 warmer Sommer mit Klimaschutz,r2n10004,7.368,1.838,47904.8,75830.9,584588.7,12749,224754.3,33905.6,584588.7,75830.9
r2n10005,54.08,2060 warmer Sommer mit Klimaschutz,56.61,30.87,SGG Planitherm 3-fach Argon U=0.7 g=42%,SCREEN-SHADE,0.1735,30.87,629.6,2060 warmer Sommer mit Klimaschutz,r2n10005,7.286,1.489,47389.6,68207,560221.8,13588.1,216645.3,33088.2,560221.8,68207
r2n10006,54.08,2060 warmer Sommer mit Klimaschutz,72.96,77.27,SGG Planitherm 3-fach Argon U=0.7 g=42%,SCREEN-SHADE,0.1492,77.27,466.9,2060 warmer Sommer mit Klimaschutz,r2n10006,7.37,2.171,53582,82206.1,602866.6,11539.3,233781.4,34990.6,602866.6,82206.1
r2n10007,89.58,2000 Durchschnittsjahr,89.42,99.73,SunGuard 3-fach Argon U=0.6 g=18%,SCREEN-SHADE,0.1144,99.73,1240.5,2000 Durchschnittsjahr,r2n10007,7.561,2.958,38689.1,106529.7,658250.6,9887.2,251484.6,36136.7,658250.6,106529.7
r2n10008,76.22,2060 Durchschnittsjahr mit Klimaschutz,97.05,4.138,SunGuard 3-fach Argon U=0.6 g=23%,<value not set>,0.1216,4.138,2161.9,2060 Durchschnittsjahr mit Klimaschutz,r2n10008,7.433,1.906,46182.4,85320.5,637258.3,11567.4,233134,34616.1,637258.3,85320.5
r2n10009,18.23,2060 Durchschnittsjahr mit Klimaschutz,49.24,87.15,SGG Planitherm 3-fach Argon U=0.7 g=42%,ROLLER-SHADE,0.1451,87.15,1665.3,2060 Durchschnittsjahr mit Klimaschutz,r2n10009,7.48,1.776,33630,81106.3,542686.4,14407.8,225567.4,33612.5,542686.4,81106.3
r2n10010,53.31,2000 Durchschnittsjahr,14.58,32.9,Standard 2-fach Argon U=1.1 g=34%,ROLLER-SHADE,0.146,32.9,1812.6,2000 Durchschnittsjahr,r2n10010,7.546,0.7831,22002.3,73686.1,484973.2,18646,217107.2,32715.7,484973.2,73686.1
r2n10011,26.42,2000 Durchschnittsjahr,1.617,24.84,SunGuard 3-fach Argon U=0.6 g=18%,SCREEN-SHADE,0.1224,24.84,2843.2,2000 Durchschnittsjahr,r2n10011,7.681,0.3341,20713.3,77090.2,451480.7,26388,234415.6,35529.2,451480.7,77090.2
r2n10012,23,2000 Durchschnittsjahr,2.655,92.76,SunGuard 3-fach Argon U=0.6 g=23%,<value not set>,0.1777,92.76,1342.3,2000 Durchschnittsjahr,r2n10012,7.614,0.7817,21246.4,72532,471196.8,20181,218005.6,32972.2,471196.8,72532
r2n10013,17.67,2060 Durchschnittsjahr mit Klimaschutz,7.89,50.47,Q-Air 4-fach Krypton U=0.3 g=20%,<value not set>,0.1207,50.47,572.1,2060 Durchschnittsjahr mit Klimaschutz,r2n10013,7.485,0.5593,27657,74422,455008.9,24444,231884.1,35298,455008.9,74422
r2n10014,32.74,2000 Durchschnittsjahr,14.16,88.45,Q-Air 4-fach Krypton U=0.3 g=20%,<value not set>,0.1706,88.45,266.7,2000 Durchschnittsjahr,r2n10014,7.504,0.9759,22810.3,75654,482089.6,17622.7,218149.5,32738.8,482089.6,75654
r2n10015,50.77,2060 warmer Sommer mit Klimaschutz,63.6,65.31,SunGuard 3-fach Argon U=0.6 g=23%,ROLLER-SHADE,0.1179,65.31,2168.5,2060 warmer Sommer mit Klimaschutz,r2n10015,7.41,1.962,49677,84153.6,596548.7,12421.3,235402.1,35118.9,596548.7,84153.6
r2n10016,36.75,2060 warmer Sommer mit Klimaschutz,95.67,83.26,SGG Planitherm 3-fach Argon U=0.7 g=42%,SCREEN-SHADE,0.1544,83.26,471.8,2060 warmer Sommer mit Klimaschutz,r2n10016,7.411,2.211,57827.4,86371.9,634980.7,10695.5,239898.4,35738.9,634980.7,86371.9
r2n10017,76.71,2060 warmer Sommer mit Klimaschutz,85.18,43.11,SunGuard 3-fach Argon U=0.6 g=23%,ROLLER-SHADE,0.1266,43.11,891.1,2060 warmer Sommer mit Klimaschutz,r2n10017,7.385,2.175,57222.3,84423.9,639693.7,10995.6,237697.9,35506.8,639693.7,84423.9
r2n10018,51.21,2000 Durchschnittsjahr,35.09,18.17,Q-Air 4-fach Krypton U=0.3 g=20%,<value not set>,0.1237,18.17,614.5,2000 Durchschnittsjahr,r2n10018,7.522,0.9326,23618.3,81362.7,512193.1,15814.9,222359,33017.5,512193.1,81362.7
r2n10019,70.05,2000 Durchschnittsjahr,17.54,50.18,Q-Air 4-fach Krypton U=0.3 g=20%,SCREEN-SHADE,0.1551,50.18,100.7,2000 Durchschnittsjahr,r2n10019,7.413,1.065,25092.2,75725.4,490044.7,15989.2,216670.9,32468.2,490044.7,75725.4
r2n10020,24.36,2060 warmer Sommer mit Klimaschutz,83.19,90.73,SunGuard 3-fach Argon U=0.6 g=18%,<value not set>,0.1686,90.73,1170.8,2060 warmer Sommer mit Klimaschutz,r2n10020,7.405,2.013,53502.5,82086.5,607972.8,11437.3,233404.5,34933.2,607972.8,82086.5
r2n10021,93.61,2060 Durchschnittsjahr mit Klimaschutz,50.23,18.39,Q-Air 4-fach Krypton U=0.3 g=20%,<value not set>,0.1053,18.39,1658.4,2060 Durchschnittsjahr mit Klimaschutz,r2n10021,7.421,1.524,37368.9,84298.4,586289.8,13590.1,230241,34183.3,586289.8,84298.4
r2n10022,86.11,2060 Durchschnittsjahr mit Klimaschutz,75.79,98.81,SunGuard 3-fach Argon U=0.6 g=18%,<value not set>,0.1919,98.81,721.8,2060 Durchschnittsjahr mit Klimaschutz,r2n10022,7.424,2.519,46958.4,86812.6,629048.8,10896.8,234217.6,34685.9,629048.8,86812.6
r2n10023,93.93,2060 Durchschnittsjahr mit Klimaschutz,95.06,68.38,SunGuard 3-fach Argon U=0.6 g=23%,ROLLER-SHADE,0.1549,68.38,1022.2,2060 Durchschnittsjahr mit Klimaschutz,r2n10023,7.45,2.533,50941.2,90305.5,656339.9,10366.3,239916.9,35415.4,656339.9,90305.5
r2n10024,97.03,2060 Durchschnittsjahr mit Klimaschutz,2.312,68.75,Q-Air 4-fach Krypton U=0.3 g=20%,ROLLER-SHADE,0.1776,68.75,1225.8,2060 Durchschnittsjahr mit Klimaschutz,r2n10024,7.34,1.056,31665.6,67116.6,525973.5,16695.6,211413.2,32243.1,525973.5,67116.6
r2n10025,46.84,2060 Durchschnittsjahr mit Klimaschutz,92.71,71.94,SGG Planitherm 3-fach Argon U=0.7 g=42%,SCREEN-SHADE,0.1055,71.94,363.5,2060 Durchschnittsjahr mit Klimaschutz,r2n10025,7.478,2.285,45529,96623.5,606678.3,11221,245935,35966.9,606678.3,96623.5
r2n10026,73.12,2000 Durchschnittsjahr,80.28,17.63,SunGuard 3-fach Argon U=0.6 g=18%,SCREEN-SHADE,0.156,17.63,1212.8,2000 Durchschnittsjahr,r2n10026,7.471,1.812,32923.4,83943.3,599329.8,11922.8,224086.5,33111.9,599329.8,83943.3
r2n10027,4.729,2060 Durchschnittsjahr mit Klimaschutz,55.47,12.79,SunGuard 3-fach Argon U=0.6 g=18%,<value not set>,0.1697,12.79,2691.2,2060 Durchschnittsjahr mit Klimaschutz,r2n10027,7.393,0.9068,31232.9,65349.1,532400.8,17743.3,210876.1,32293.6,532400.8,65349.1
r2n10028,69.28,2000 Durchschnittsjahr,3.339,2.599,SGG Planitherm 3-fach Argon U=0.7 g=42%,<value not set>,0.107,2.599,2057.9,2000 Durchschnittsjahr,r2n10028,7.642,0.4033,21494.1,82211.3,475994,22144,233509.1,34941.5,475994,82211.3
r2n10029,96.81,2060 Durchschnittsjahr mit Klimaschutz,58.47,66.69,Standard 2-fach Argon U=1.1 g=34%,ROLLER-SHADE,0.1398,66.69,2334.6,2060 Durchschnittsjahr mit Klimaschutz,r2n10029,7.41,2.145,41893.4,84138.7,614761.4,12082.4,230041.7,34161,614761.4,84138.7
r2n10030,66.19,2060 Durchschnittsjahr mit Klimaschutz,71.68,94.03,SunGuard 3-fach Argon U=0.6 g=18%,ROLLER-SHADE,0.1108,94.03,2683.2,2060 Durchschnittsjahr mit Klimaschutz,r2n10030,7.494,2.568,42587.5,94714.6,619031.3,11522.2,242376.3,35489,619031.3,94714.6
r2n10031,14.9,2060 warmer Sommer mit Klimaschutz,23.89,66.27,Q-Air 4-fach Krypton U=0.3 g=20%,<value not set>,0.1698,66.27,2163.2,2060 warmer Sommer mit Klimaschutz,r2n10031,7.374,0.8795,38373.3,64938.4,507137.4,18357.6,215819.3,33212.3,507137.4,64938.4
r2n10032,88.9,2000 Durchschnittsjahr,78.64,49.04,Q-Air 4-fach Krypton U=0.3 g=20%,SCREEN-SHADE,0.1771,49.04,397.9,2000 Durchschnittsjahr,r2n10032,7.445,2.146,35987.8,87399.8,613231.2,11149.7,228758,33660.5,613231.2,87399.8
r2n10033,4.5,2000 Durchschnittsjahr,85.35,25.93,SGG Planitherm 3-fach Argon U=0.7 g=42%,SCREEN-SHADE,0.1054,25.93,2464.5,2000 Durchschnittsjahr,r2n10033,7.617,1.495,27654.4,95853.3,570401,13491.2,238301.9,34665.5,570401,95853.3
r2n10034,96.24,2060 warmer Sommer mit Klimaschutz,73.44,3.276,SGG Planitherm 3-fach Argon U=0.7 g=42%,SCREEN-SHADE,0.1008,3.276,1883.5,2060 warmer Sommer mit Klimaschutz,r2n10034,7.381,1.73,53803.9,84414.3,631693.4,11951.2,237354.8,35446.3,631693.4,84414.3
r2n10035,12.89,2060 Durchschnittsjahr mit Klimaschutz,97.55,35.31,SunGuard 3-fach Argon U=0.6 g=23%,<value not set>,0.108,35.31,953.3,2060 Durchschnittsjahr mit Klimaschutz,r2n10035,7.511,1.765,41489.2,90870.7,588251.7,12478.8,238746.2,35159,588251.7,90870.7
r2n10036,95.76,2060 warmer Sommer mit Klimaschutz,91.63,52.8,SunGuard 3-fach Argon U=0.6 g=23%,<value not set>,0.1618,52.8,363.4,2060 warmer Sommer mit Klimaschutz,r2n10036,7.37,2.376,62435.6,83946.4,668214.6,10283.7,238957.8,35772,668214.6,83946.4
r2n10037,18.27,2000 Durchschnittsjahr,90.84,1.48,SunGuard 3-fach Argon U=0.6 g=23%,SCREEN-SHADE,0.1873,1.48,2299.9,2000 Durchschnittsjahr,r2n10037,7.486,1.382,30087.6,75983.1,566019.3,13084.7,214752.5,32103.6,566019.3,75983.1
r2n10038,34.3,2060 Durchschnittsjahr mit Klimaschutz,90.36,65.94,Standard 2-fach Argon U=1.1 g=34%,ROLLER-SHADE,0.118,65.94,2904.9,2060 Durchschnittsjahr mit Klimaschutz,r2n10038,7.507,2.183,42717.9,91747.2,615733.9,11701.8,239154.1,35159.2,615733.9,91747.2
r2n10039,63.16,2060 Durchschnittsjahr mit Klimaschutz,70.31,82.01,SGG Planitherm 3-fach Argon U=0.7 g=42%,ROLLER-SHADE,0.1602,82.01,2049.7,2060 Durchschnittsjahr mit Klimaschutz,r2n10039,7.439,2.196,42147.9,84343.2,608514.4,11845.1,230018,34140,608514.4,84343.2
r2n10040,54.18,2060 warmer Sommer mit Klimaschutz,16.97,0.7851,Q-Air 4-fach Krypton U=0.3 g=20%,<value not set>,0.1904,0.7851,504.5,2060 warmer Sommer mit Klimaschutz,r2n10040,7.192,0.4906,38574.5,51792.4,481755.4,20835,204342.5,32251.3,481755.4,51792.4
r2n10041,90.2,2060 Durchschnittsjahr mit Klimaschutz,86.99,21.7,SunGuard 3-fach Argon U=0.6 g=23%,<value not set>,0.139,21.7,2673.4,2060 Durchschnittsjahr mit Klimaschutz,r2n10041,7.409,2.058,46081.8,83239.8,641328.1,11453,230324.1,34286.5,641328.1,83239.8
r2n10042,95.53,2000 Durchschnittsjahr,5.325,0.3641,Q-Air 4-fach Krypton U=0.3 g=20%,<value not set>,0.1503,0.3641,2828.2,2000 Durchschnittsjahr,r2n10042,7.483,0.5207,22721.3,68118.8,500363.5,18947,211275.8,32135.2,500363.5,68118.8
r2n10043,75.31,2060 Durchschnittsjahr mit Klimaschutz,90.15,37.62,Q-Air 4-fach Krypton U=0.3 g=20%,SCREEN-SHADE,0.1437,37.62,2283,2060 Durchschnittsjahr mit Klimaschutz,r2n10043,7.432,2.177,46015.1,84907.7,635375.9,11327.6,232096.3,34464.8,635375.9,84907.7
r2n10044,93.61,2060 warmer Sommer mit Klimaschutz,38.12,10.69,SunGuard 3-fach Argon U=0.6 g=18%,<value not set>,0.1776,10.69,545.8,2060 warmer Sommer mit Klimaschutz,r2n10044,7.222,1.119,46472.3,62880.4,552749,14350.9,210958.9,32513.8,552749,62880.4
r2n10045,16.82,2000 Durchschnittsjahr,82.69,12.37,SGG Planitherm 3-fach Argon U=0.7 g=42%,<value not set>,0.1787,12.37,1889.5,2000 Durchschnittsjahr,r2n10045,7.494,1.327,28738.2,76829.1,559244.2,13418.7,215571.2,32180,559244.2,76829.1
r2n10046,44.16,2060 Durchschnittsjahr mit Klimaschutz,34.08,47.12,Standard 2-fach Argon U=1.1 g=34%,<value not set>,0.124,47.12,357.8,2060 Durchschnittsjahr mit Klimaschutz,r2n10046,7.407,1.137,31889.4,78447.2,509827,15759.9,223714.8,33502.1,509827,78447.2
r2n10047,74.86,2060 Durchschnittsjahr mit Klimaschutz,35.94,51.38,SunGuard 3-fach Argon U=0.6 g=18%,<value not set>,0.1384,51.38,2723,2060 Durchschnittsjahr mit Klimaschutz,r2n10047,7.405,1.489,34072.9,77215.5,565428.9,14320.7,220922.4,33104.9,565428.9,77215.5
r2n10048,56.01,2060 warmer Sommer mit Klimaschutz,65.5,62.48,SunGuard 3-fach Argon U=0.6 g=23%,SCREEN-SHADE,0.1015,62.48,2269.6,2060 warmer Sommer mit Klimaschutz,r2n10048,7.433,2.032,50358.1,88718.3,604777,12220.5,241029.7,35746.4,604777,88718.3
r2n10049,93.96,2000 Durchschnittsjahr,29.78,82.1,Standard 2-fach Argon U=1.1 g=34%,<value not set>,0.1848,82.1,1950.4,2000 Durchschnittsjahr,r2n10049,7.466,1.584,27580.4,80250.5,554439,13213.7,218691.2,32453.7,554439,80250.5
r2n10050,64.73,2060 Durchschnittsjahr mit Klimaschutz,83.45,95.22,SGG Planitherm 3-fach Argon U=0.7 g=42%,SCREEN-SHADE,0.1641,95.22,465.1,2060 Durchschnittsjahr mit Klimaschutz,r2n10050,7.442,2.386,46320.8,89442.3,615094.8,10955.5,237152.2,34992.5,615094.8,89442.3
r2n10051,1.926,2060 warmer Sommer mit Klimaschutz,46.61,38.3,Q-Air 4-fach Krypton U=0.3 g=20%,ROLLER-SHADE,0.1979,38.3,249,2060 warmer Sommer mit Klimaschutz,r2n10051,7.258,0.9166,41082.3,59436.7,490429.5,17614.7,209391.2,32519.3,490429.5,59436.7
r2n10052,60.03,2060 Durchschnittsjahr mit Klimaschutz,21.46,20.39,Standard 2-fach Argon U=1.1 g=34%,SCREEN-SHADE,0.1092,20.39,1208.7,2060 Durchschnittsjahr mit Klimaschutz,r2n10052,7.463,0.8417,29723.7,78839,513347.3,17846.1,226641.8,33993.3,513347.3,78839
r2n10053,85.33,2000 Durchschnittsjahr,84.51,91.1,Q-Air 4-fach Krypton U=0.3 g=20%,SCREEN-SHADE,0.1342,91.1,2115.7,2000 Durchschnittsjahr,r2n10053,7.548,2.797,36945.9,100798.7,644003.6,10275.6,244135,35298.1,644003.6,100798.7
r2n10054,75.22,2060 warmer Sommer mit Klimaschutz,84.07,20.76,SunGuard 3-fach Argon U=0.6 g=23%,ROLLER-SHADE,0.1906,20.76,2028.7,2060 warmer Sommer mit Klimaschutz,r2n10054,7.313,1.884,55955.6,72666.8,638082.5,11464.4,223408.3,33927.8,638082.5,72666.8
r2n10055,60.44,2060 Durchschnittsjahr mit Klimaschutz,91.63,7.417,Q-Air 4-fach Krypton U=0.3 g=20%,ROLLER-SHADE,0.1609,7.417,2765,2060 Durchschnittsjahr mit Klimaschutz,r2n10055,7.394,1.781,43833.3,77356.6,622629.1,12110,222974.7,33460.3,622629.1,77356.6
r2n10056,43.95,2060 warmer Sommer mit Klimaschutz,16.82,45.53,Standard 2-fach Argon U=1.1 g=34%,ROLLER-SHADE,0.1765,45.53,2391.8,2060 warmer Sommer mit Klimaschutz,r2n10056,7.318,0.8317,38549.6,61039.4,515372.3,18520.8,211462.7,32756.8,515372.3,61039.4
r2n10057,38,2060 Durchschnittsjahr mit Klimaschutz,79.71,92.03,SunGuard 3-fach Argon U=0.6 g=18%,SCREEN-SHADE,0.1212,92.03,624.3,2060 Durchschnittsjahr mit Klimaschutz,r2n10057,7.486,2.379,42303.2,92943.1,589702.2,11710.9,240382.1,35279.6,589702.2,92943.1
r2n10058,16.63,2000 Durchschnittsjahr,82.15,8.848,SunGuard 3-fach Argon U=0.6 g=23%,<value not set>,0.1432,8.848,2240.9,2000 Durchschnittsjahr,r2n10058,7.532,1.314,27994.3,82543.6,558556.8,13550,222351.4,32917.8,558556.8,82543.6
r2n10059,2.421,2000 Durchschnittsjahr,92.61,68.13,SunGuard 3-fach Argon U=0.6 g=18%,ROLLER-SHADE,0.105,68.13,2511.8,2000 Durchschnittsjahr,r2n10059,7.635,1.865,30362.6,102417.2,595206.8,12145.3,245527.4,35412.8,595206.8,102417.2
r2n10060,65.55,2060 warmer Sommer mit Klimaschutz,55.25,37.49,Standard 2-fach Argon U=1.1 g=34%,ROLLER-SHADE,0.1673,37.49,2889.9,2060 warmer Sommer mit Klimaschutz,r2n10060,7.31,1.665,47960.6,70758.3,593082.6,13155.2,219323.7,33355.5,593082.6,70758.3
r2n10061,58.67,2060 Durchschnittsjahr mit Klimaschutz,64.14,3.865,Q-Air 4-fach Krypton U=0.3 g=20%,<value not set>,0.1479,3.865,2997.9,2060 Durchschnittsjahr mit Klimaschutz,r2n10061,7.372,1.383,36812,73034.6,583281.2,13954.8,216799.2,32714.7,583281.2,73034.6
r2n10062,28.86,2060 warmer Sommer mit Klimaschutz,21.26,20.08,SunGuard 3-fach Argon U=0.6 g=23%,SCREEN-SHADE,0.1494,20.08,664,2060 warmer Sommer mit Klimaschutz,r2n10062,7.325,0.6089,38021,61648,478788.1,21247,216791.2,33659.5,478788.1,61648
r2n10063,13.23,2060 warmer Sommer mit Klimaschutz,37.65,37.77,SunGuard 3-fach Argon U=0.6 g=18%,ROLLER-SHADE,0.1822,37.77,1774.4,2060 warmer Sommer mit Klimaschutz,r2n10063,7.325,0.8249,39685.3,61183.9,517154.7,17597.2,210654.1,32600.3,517154.7,61183.9
r2n10064,16.57,2060 warmer Sommer mit Klimaschutz,97.61,14.96,Q-Air 4-fach Krypton U=0.3 g=20%,<value not set>,0.1216,14.96,2194.8,2060 warmer Sommer mit Klimaschutz,r2n10064,7.41,1.566,52325.6,81567.9,613437.2,12392,233779.9,35043.5,613437.2,81567.9
r2n10065,47.83,2060 warmer Sommer mit Klimaschutz,94.78,34.11,SunGuard 3-fach Argon U=0.6 g=18%,SCREEN-SHADE,0.139,34.11,2476.6,2060 warmer Sommer mit Klimaschutz,r2n10065,7.389,1.977,55739.3,81735.2,636923.2,11289,234045.6,35077.2,636923.2,81735.2
r2n10066,47.48,2000 Durchschnittsjahr,79.46,41.54,SunGuard 3-fach Argon U=0.6 g=18%,<value not set>,0.1125,41.54,71.84,2000 Durchschnittsjahr,r2n10066,7.475,1.942,33387.3,96187.7,585525.8,12102.7,239653.5,34879.5,585525.8,96187.7
r2n10067,70.54,2000 Durchschnittsjahr,45.3,97.7,Q-Air 4-fach Krypton U=0.3 g=20%,ROLLER-SHADE,0.1277,97.7,148.8,2000 Durchschnittsjahr,r2n10067,7.478,2.135,30377.2,94941.2,573848.5,12548.7,237125.2,34530.8,573848.5,94941.2
r2n10068,40.78,2000 Durchschnittsjahr,90.45,27.9,SunGuard 3-fach Argon U=0.6 g=23%,SCREEN-SHADE,0.1143,27.9,1382.3,2000 Durchschnittsjahr,r2n10068,7.56,1.837,31763.1,94802,603616.8,11920.8,236656,34458.4,603616.8,94802
r2n10069,96.49,2000 Durchschnittsjahr,18.22,58.62,Standard 2-fach Argon U=1.1 g=34%,SCREEN-SHADE,0.1058,58.62,1151.8,2000 Durchschnittsjahr,r2n10069,7.562,1.39,25150.6,91985.8,555475.2,14689.6,234231.2,34258.6,555475.2,91985.8
r2n10070,49.4,2060 warmer Sommer mit Klimaschutz,62.2,41.36,SunGuard 3-fach Argon U=0.6 g=23%,<value not set>,0.1347,41.36,1556.7,2060 warmer Sommer mit Klimaschutz,r2n10070,7.366,1.684,48321.7,76979,583489.4,13069,226987,34209.6,583489.4,76979
r2n10071,91.34,2060 Durchschnittsjahr mit Klimaschutz,89.92,50.97,SGG Planitherm 3-fach Argon U=0.7 g=42%,ROLLER-SHADE,0.1898,50.97,1904.8,2060 Durchschnittsjahr mit Klimaschutz,r2n10071,7.41,2.292,48846.7,82781.2,650663.5,10853.7,230340.9,34327.7,650663.5,82781.2
r2n10072,23.09,2060 Durchschnittsjahr mit Klimaschutz,47.79,33.44,Q-Air 4-fach Krypton U=0.3 g=20%,ROLLER-SHADE,0.13,33.44,125.2,2060 Durchschnittsjahr mit Klimaschutz,r2n10072,7.366,1.162,33147.3,76417.4,496305.2,15931,222290,33416.1,496305.2,76417.4
r2n10073,11.86,2060 warmer Sommer mit Klimaschutz,50.18,79.55,Standard 2-fach Argon U=1.1 g=34%,SCREEN-SHADE,0.1844,79.55,1748.2,2060 warmer Sommer mit Klimaschutz,r2n10073,7.364,1.422,43879.3,70476.3,548665.9,14455.2,218871.9,33298.2,548665.9,70476.3
r2n10074,93.42,2060 Durchschnittsjahr mit Klimaschutz,32.46,57.67,SunGuard 3-fach Argon U=0.6 g=23%,SCREEN-SHADE,0.1824,57.67,2876.6,2060 Durchschnittsjahr mit Klimaschutz,r2n10074,7.339,1.466,35617.5,71372.8,578393.8,13920.1,213979.7,32348.5,578393.8,71372.8
r2n10075,20.97,2060 warmer Sommer mit Klimaschutz,39.88,11.34,SGG Planitherm 3-fach Argon U=0.7 g=42%,<value not set>,0.1929,11.34,1153.2,2060 warmer Sommer mit Klimaschutz,r2n10075,7.264,0.6834,39892.3,56179,511578.7,18124.9,205616.4,32114.5,511578.7,56179
